"date","close","volume","open","high","low"

"2015/11/24","2089.1400","0.0000","2084.4200","2094.1200","2070.2900"
"2015/11/23","2086.5900","0.0000","2089.4100","2095.6100","2081.3900"
"2015/11/20","2089.1700","0.0000","2082.8200","2097.0600","2082.8200"
"2015/11/19","2081.2400","0.0000","2083.7000","2086.7400","2078.7600"
"2015/11/18","2083.5800","0.0000","2051.9900","2085.3100","2051.9900"
"2015/11/17","2050.4400","0.0000","2053.6700","2066.6900","2045.9000"
"2015/11/16","2053.1900","0.0000","2022.0800","2053.2200","2019.3900"
"2015/11/13","2023.0400","0.0000","2044.6400","2044.6400","2022.0200"
"2015/11/12","2045.9700","0.0000","2072.2900","2072.2900","2045.6600"
"2015/11/11","2075.0000","0.0000","2083.4100","2086.9400","2074.8500"
"2015/11/10","2081.7200","0.0000","2077.1900","2083.6700","2069.9100"
"2015/11/09","2078.5800","0.0000","2096.5600","2096.5600","2068.2400"
"2015/11/06","2099.2000","0.0000","2098.6000","2101.9100","2083.7400"
"2015/11/05","2099.9300","0.0000","2101.6800","2108.7800","2090.4100"
"2015/11/04","2102.3100","0.0000","2110.6000","2114.5900","2096.9800"
"2015/11/03","2109.7900","0.0000","2102.6300","2116.4800","2097.5100"
"2015/11/02","2104.0500","0.0000","2080.7600","2106.2000","2080.7600"
"2015/10/30","2079.3600","0.0000","2090.0000","2094.3200","2079.3400"
"2015/10/29","2089.4100","0.0000","2088.3500","2092.5200","2082.6300"
"2015/10/28","2090.3500","0.0000","2066.4800","2090.3500","2063.1100"
"2015/10/27","2065.8900","0.0000","2068.7500","2070.3700","2058.8400"
"2015/10/26","2071.1800","0.0000","2075.0800","2075.1400","2066.5300"
"2015/10/23","2075.1500","0.0000","2058.1900","2079.7400","2058.1900"
"2015/10/22","2052.5100","0.0000","2021.8800","2055.2000","2021.8800"
"2015/10/21","2018.9400","0.0000","2033.4700","2037.9700","2017.2200"
"2015/10/20","2030.7700","0.0000","2033.1300","2039.1200","2026.6100"
"2015/10/19","2033.6600","0.0000","2031.7300","2034.4500","2022.3100"
"2015/10/16","2033.1100","0.0000","2024.3700","2033.5400","2020.4600"
"2015/10/15","2023.8600","0.0000","1996.4700","2024.1500","1996.4700"
"2015/10/14","1994.2400","0.0000","2003.6600","2009.5600","1990.7300"
"2015/10/13","2003.6900","0.0000","2015.0000","2022.3400","2001.7800"
"2015/10/12","2017.4600","0.0000","2015.6500","2018.6600","2010.5500"
"2015/10/09","2014.8900","0.0000","2013.7300","2020.1300","2007.6100"
"2015/10/08","2013.4300","0.0000","1994.0100","2016.5000","1987.5300"
"2015/10/07","1995.8300","0.0000","1982.3400","1999.3100","1976.4400"
"2015/10/06","1979.9200","0.0000","1986.6300","1991.6200","1971.9900"
"2015/10/05","1987.0500","0.0000","1954.3300","1989.1700","1954.3300"
"2015/10/02","1951.3600","0.0000","1921.7700","1951.3600","1893.7000"
"2015/10/01","1923.8200","0.0000","1919.6500","1927.2100","1900.7000"
"2015/09/30","1920.0300","0.0000","1887.1400","1920.5300","1887.1400"
"2015/09/29","1884.0900","0.0000","1881.9000","1899.4800","1871.9100"
"2015/09/28","1881.7700","0.0000","1929.1800","1929.1800","1879.2100"
"2015/09/25","1931.3400","0.0000","1935.9300","1952.8900","1921.5000"
"2015/09/24","1932.2400","0.0000","1934.8100","1937.1700","1908.9200"
"2015/09/23","1938.7600","0.0000","1943.2400","1949.5200","1932.5700"
"2015/09/22","1942.7400","0.0000","1961.3900","1961.3900","1929.2200"
"2015/09/21","1966.9700","0.0000","1960.8400","1979.6400","1955.8000"
"2015/09/18","1958.0300","0.0000","1989.6600","1989.6600","1953.4500"
"2015/09/17","1990.2000","0.0000","1995.3300","2020.8600","1986.7300"
"2015/09/16","1995.3100","0.0000","1978.0200","1997.2600","1977.9300"
"2015/09/15","1978.0900","0.0000","1955.1000","1983.1900","1954.3000"
"2015/09/14","1953.0300","0.0000","1963.0600","1963.0600","1948.2700"
"2015/09/11","1961.0500","0.0000","1951.4500","1961.0500","1939.1900"
"2015/09/10","1952.2900","0.0000","1941.5900","1965.2900","1937.1900"
"2015/09/09","1942.0400","0.0000","1971.4500","1988.6300","1937.8800"
"2015/09/08","1969.4100","0.0000","1927.3000","1970.4200","1927.3000"
"2015/09/04","1921.2200","0.0000","1947.7600","1947.7600","1911.2100"
"2015/09/03","1951.1300","0.0000","1950.7900","1975.0100","1944.7200"
"2015/09/02","1948.8600","0.0000","1916.5200","1948.9100","1916.5200"
"2015/09/01","1913.8500","0.0000","1970.0900","1970.0900","1903.0700"
